"GENDER = M";"GENDER = F";"GENDER = C";"GENDER = J";"GENDER = U";"GENDER = A";"homeownr = 0";"homeownr = 1";"NUMCHLD";"INCOME";"WEALTH1";"NUMPROM";"RAMNTALL";"MAXRAMNT";"LASTGIFT";"TIMELAG";"AVGGIFT";"totDays";"CONTROLN";"TARGET_B";"confidence(0)";"confidence(1)";"prediction(TARGET_B)";"profit";"cumulative(profit)"
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;47.0;91.0;6.0;5.0;1.0;5.0555555556;119.95833333333333;13448.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;1.571
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;76.0;95.0;8.0;3.0;13.0;4.5238095238;273.0;186380.0;"0";0.7291666666666666;0.2708333333333333;"1";-1.076;0.4949999999999999
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;111.0;161.0;9.0;6.0;3.0;5.5517241379;181.95833333333334;1986.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;2.066
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;5.0;2.0;29.0;36.0;7.0;3.0;4.0;5.1428571429;119.95833333333333;47245.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;3.6369999999999996
0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;6.0;-1.0;87.0;160.0;7.0;6.0;7.0;5.5172413793;119.95833333333333;12998.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;5.207999999999999
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;94.0;221.5;7.0;5.0;2.0;4.8152173913;181.95833333333334;5376.0;"0";0.7291666666666666;0.2708333333333333;"1";-1.076;4.132
0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;54.0;97.0;7.0;6.0;3.0;5.1052631579;181.95833333333334;157427.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;5.702999999999999
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;65.0;65.0;7.0;5.0;28.0;5.0;273.0;186014.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;7.273999999999999
0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;-1.0;-1.0;55.0;52.0;6.0;5.0;3.0;4.0;273.0;185813.0;"0";0.7291666666666666;0.2708333333333333;"1";-1.076;6.197999999999999
1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;111.0;239.0;10.0;5.0;7.0;5.1956521739;119.95833333333333;14191.0;"1";0.7291666666666666;0.2708333333333333;"1";1.571;7.768999999999998
